timestamp,network_mode,state,duplex_mode,cell_id,rsrp,rsrq,sinr,max_neighbor_rsrp,max_neighbor_rsrq,max_neighbor_sinr,avg_neighbor_rsrp,avg_neighbor_rsrq,avg_neighbor_sinr,bandwidth,cell_changed,rssi,band,ul_bandwidth,ul_throughput,rtt,retry,cwnd,loss_rate
1742811993.8719559,NR5G-SA,LIMSRV,TDD,A120C0002,-65,-6,23,0,0,0,0,0,0,100,0,24,N/A,105.0,12.5,23.2,0,85,0.0
1742811995.1416125,NR5G-SA,LIMSRV,TDD,A120C0002,-65,-6,24,0,0,0,0,0,0,100,0,24,N/A,89.9,10.7,20.8,0,85,0.0
1742811996.4078035,NR5G-SA,LIMSRV,TDD,A120C0002,-65,-5,25,0,0,0,0,0,0,100,0,24,N/A,87.9,10.5,17.1,0,85,0.0
1742811997.677981,NR5G-SA,LIMSRV,TDD,A120C0002,-65,-5,24,0,0,0,0,0,0,100,0,24,N/A,104.0,12.4,18.9,0,85,0.0
1742811998.9497585,NR5G-SA,LIMSRV,TDD,A120C0002,-66,-5,23,0,0,0,0,0,0,100,0,24,N/A,118.0,14.1,17.9,0,85,0.0
1742812000.2202692,NR5G-SA,LIMSRV,TDD,A120C0002,-67,-7,17,0,0,0,0,0,0,100,0,24,N/A,89.7,10.7,20.5,0,85,0.0
1742812001.4910862,NR5G-SA,LIMSRV,TDD,A120C0002,-66,-5,23,0,0,0,0,0,0,100,0,24,N/A,97.6,11.6,17.8,0,85,0.0
1742812002.7641087,NR5G-SA,LIMSRV,TDD,A120C0002,-65,-6,24,0,0,0,0,0,0,100,0,24,N/A,115.0,13.7,24.7,0,85,0.0
1742812004.0098438,NR5G-SA,LIMSRV,TDD,A120C0002,-66,-6,24,0,0,0,0,0,0,100,0,24,N/A,76.5,9.13,18.3,0,85,0.0
1742812005.2552652,NR5G-SA,LIMSRV,TDD,A120C0002,-66,-7,23,0,0,0,0,0,0,100,0,24,N/A,82.3,9.8,22.0,0,85,0.0
1742812006.4995072,NR5G-SA,LIMSRV,TDD,A120C0002,-66,-5,24,0,0,0,0,0,0,100,0,24,N/A,73.2,8.73,27.4,0,85,0.0
1742812007.7703187,NR5G-SA,LIMSRV,TDD,A120C0002,-66,-5,23,0,0,0,0,0,0,100,0,24,N/A,76.3,9.1,18.6,0,85,0.0
1742812009.0359945,NR5G-SA,LIMSRV,TDD,A120C0002,-66,-6,24,0,0,0,0,0,0,100,0,24,N/A,161.0,19.2,27.3,0,85,0.0
1742812010.2825413,NR5G-SA,LIMSRV,TDD,A120C0002,-66,-5,24,0,0,0,0,0,0,100,0,24,N/A,112.0,13.3,18.3,0,85,0.0
1742812011.5288813,NR5G-SA,LIMSRV,TDD,A120C0002,-66,-6,24,0,0,0,0,0,0,100,0,24,N/A,88.1,10.5,17.9,0,85,0.0
1742812012.7764072,NR5G-SA,LIMSRV,TDD,A120C0002,-66,-6,24,0,0,0,0,0,0,100,0,24,N/A,86.1,10.3,18.1,0,85,0.0
1742812014.0451074,NR5G-SA,LIMSRV,TDD,A120C0002,-66,-6,25,0,0,0,0,0,0,100,0,24,N/A,111.0,13.2,18.0,0,85,0.0
1742812015.3167632,NR5G-SA,LIMSRV,TDD,A120C0002,-65,-5,25,0,0,0,0,0,0,100,0,24,N/A,110.0,13.1,18.5,0,85,0.0
1742812016.5906801,NR5G-SA,LIMSRV,TDD,A120C0002,-66,-6,25,0,0,0,0,0,0,100,0,24,N/A,85.8,10.2,18.9,0,85,0.0
1742812017.8596625,NR5G-SA,LIMSRV,TDD,A120C0002,-66,-7,15,0,0,0,0,0,0,100,0,24,N/A,101.0,12.0,20.7,0,85,0.0
1742812019.1305897,NR5G-SA,LIMSRV,TDD,A120C0002,-66,-7,21,0,0,0,0,0,0,100,0,24,N/A,89.7,10.7,18.9,0,85,0.0
